run_id,model,n_features,threshold_type,threshold,fraud_f1,precision,recall,roc_auc,notes
1,RF-182,182,default,0.500,0.566,0.619,0.522,0.919,Random Forest baseline at default threshold
2,RF-182,182,optimal,0.749,0.654,0.470,0.741,0.919,Random Forest at F1-optimal threshold
3,RF-186,186,optimal,0.770,0.655,0.480,0.760,0.919,RF + is_structural_missing + graph degrees
4,XGB-182,182,default,0.500,0.570,0.585,0.556,0.933,XGBoost baseline at default threshold
5,XGB-182,182,optimal,0.806,0.664,0.588,0.763,0.933,XGBoost at F1-optimal threshold
6,XGB-186,186,optimal,0.910,0.665,0.602,0.742,0.942,XGB + is_structural_missing + graph degrees (BEST)
7,XGB-30,30,optimal,,0.658,,,0.955,Top-30 SHAP features; 98.4% of peak F1 at 16% feature count
8,XGB-12,12,optimal,,0.610,,,0.891,Top-12 SHAP features; minimum viable feature set
9,Dummy-stratified,0,default,0.500,0.065,,,0.500,Stratified random baseline
10,XGB-186-iso,187,optimal,,0.660,,,0.942,XGB-186 + IsolationForest anomaly score (-0.005 F1 vs XGB-186)
